summary_totalPrompts,100
summary_totalLatencyMs,624020
summary_totalGenMs,442383
summary_avgTtftMs,301
summary_p50TtftMs,260
summary_p95TtftMs,615
summary_avgGenMs,4424
summary_p50GenMs,2543
summary_p95GenMs,9921
summary_totalPromptTokens,3816
summary_totalCompletionTokens,11386
summary_overallTPS,25.74
summary_maxResidentMemoryBytes,1332166656
summary_cpuTimeSeconds,106.11
summary_energyMilliJoules,1365211.77
summary_classificationAccuracy,0.640
summary_correctClassifications,64


# Energy samples (real-time monitoring via CLPC)
timestamp_seconds,thermalState,energy_mJ
0.000,nominal,2079.54
41.706,nominal,68726.21
44.442,nominal,71946.17
47.142,nominal,75340.04
50.032,nominal,78704.04
52.950,nominal,82089.09
55.882,nominal,85612.17
58.825,fair,178185.96
61.762,fair,185267.64
64.886,fair,192455.26
78.181,fair,192455.26
81.901,fair,192455.26
85.355,fair,200349.01
88.752,fair,208965.75
92.133,fair,217629.46
95.515,fair,226903.53
107.094,fair,258390.84
110.746,fair,258390.84
114.068,fair,266437.94
127.824,fair,299261.15
131.648,fair,301181.89
135.271,fair,309956.96
147.436,fair,326622.89
150.983,fair,326622.89
162.959,fair,349345.39
174.400,fair,361368.74
187.059,fair,378642.88
190.745,fair,379880.54
202.820,fair,402892.83
206.355,fair,402892.83
218.355,fair,426557.99
222.196,fair,426803.30
233.918,fair,448113.30
245.765,fair,462932.77
249.487,fair,462932.77
252.821,fair,470960.44
264.800,fair,493549.39
268.419,fair,493549.39
280.238,fair,515380.29
291.757,fair,528814.58
295.370,fair,529110.28
298.837,fair,537028.41
302.312,fair,545121.53
305.770,fair,552967.79
309.274,fair,561158.41
312.666,fair,569524.50
316.142,fair,577707.46
319.657,fair,585753.42
323.199,fair,594251.84
326.730,fair,602345.19
330.089,fair,610041.00
333.575,fair,618053.50
337.078,fair,626080.57
340.576,fair,634075.09
344.186,fair,647618.62
347.545,fair,654090.82
350.981,fair,662009.58
354.462,fair,669973.17
357.994,fair,678204.71
361.519,fair,686439.88
365.086,fair,694839.53
379.226,serious,694839.53
394.479,serious,731830.93
398.689,serious,732303.21
413.175,serious,776465.43
426.633,serious,798553.99
430.713,serious,798553.99
434.567,serious,811662.49
447.321,serious,845354.59
460.129,serious,866817.75
464.339,serious,867417.81
468.167,serious,879616.74
480.919,serious,914473.85
485.202,serious,914577.62
497.298,serious,947466.95
501.552,serious,948122.43
514.214,serious,981786.95
526.682,serious,1004513.09
530.965,serious,1004569.23
543.695,serious,1038149.34
556.656,serious,1061715.83
560.944,serious,1062528.66
564.759,serious,1075810.69
568.597,serious,1090247.44
572.374,serious,1103668.89
576.198,serious,1117563.92
580.147,serious,1130987.10
593.150,serious,1164386.66
597.468,serious,1165278.21
601.350,serious,1179226.02
605.316,serious,1194443.53
609.320,serious,1207366.98
622.113,serious,1241789.65
626.450,serious,1242211.34
630.206,serious,1255486.17
634.143,serious,1270623.59
