summary_totalPrompts,100
summary_totalLatencyMs,707912
summary_totalGenMs,454350
summary_avgTtftMs,301
summary_p50TtftMs,288
summary_p95TtftMs,588
summary_avgGenMs,4544
summary_p50GenMs,2558
summary_p95GenMs,10532
summary_totalPromptTokens,3816
summary_totalCompletionTokens,11386
summary_overallTPS,25.06
summary_maxResidentMemoryBytes,1114521600
summary_cpuTimeSeconds,36.80
summary_energyMilliJoules,3995999.76
summary_classificationAccuracy,0.640
summary_correctClassifications,64


# Energy samples (real-time monitoring)
timestamp_seconds,batteryLevel,batteryState,thermalState,energy_mJ
0.000,0.500,unplugged,nominal,0.00
4.281,0.500,unplugged,nominal,0.00
7.236,0.500,unplugged,nominal,0.00
10.217,0.500,unplugged,nominal,0.00
13.251,0.500,unplugged,nominal,0.00
16.309,0.500,unplugged,nominal,0.00
19.364,0.500,unplugged,nominal,0.00
22.472,0.500,unplugged,nominal,0.00
25.367,0.500,unplugged,nominal,0.00
28.574,0.500,unplugged,nominal,0.00
42.194,0.500,unplugged,fair,0.00
45.510,0.500,unplugged,fair,0.00
48.700,0.500,unplugged,fair,0.00
51.960,0.500,unplugged,fair,0.00
55.038,0.500,unplugged,fair,0.00
58.083,0.450,unplugged,fair,1998000.48
70.486,0.450,unplugged,serious,1998000.48
74.598,0.450,unplugged,serious,1998000.48
78.399,0.450,unplugged,serious,1998000.48
91.574,0.450,unplugged,serious,1998000.48
96.154,0.450,unplugged,serious,1998000.48
100.116,0.450,unplugged,serious,1998000.48
112.873,0.450,unplugged,serious,1998000.48
116.962,0.450,unplugged,serious,1998000.48
130.175,0.450,unplugged,serious,1998000.48
143.345,0.450,unplugged,serious,1998000.48
155.550,0.450,unplugged,serious,1998000.48
159.847,0.450,unplugged,serious,1998000.48
174.602,0.450,unplugged,serious,1998000.48
178.944,0.450,unplugged,serious,1998000.48
192.489,0.450,unplugged,serious,1998000.48
197.071,0.450,unplugged,serious,1998000.48
209.543,0.450,unplugged,serious,1998000.48
223.797,0.450,unplugged,serious,1998000.48
228.419,0.450,unplugged,serious,1998000.48
232.466,0.450,unplugged,serious,1998000.48
247.139,0.450,unplugged,serious,1998000.48
251.730,0.450,unplugged,serious,1998000.48
264.183,0.450,unplugged,serious,1998000.48
